pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1,203,72,72121,57610,20310,NA,W,3125,59,NA,2,1,6,3,1,1,1,5,1,0,2,1,1,NA,NA,2,2,4,1,2,2,0,1105,2,1,1,3,NA,NA,CHICAGO,60636,4064,0.00713582677165354,0.96998031496063,0,0.00664370078740157,0.03248031496062992,14000,Chicago,0,0,3,1,0,0,RANDOLPH,HARPER HS,6.873317191283292,43063,FALSE,TRUE,TRUE
2,203,27,27010,337850,72080,NA,W,5440,94,NA,2,5,6,3,1,3,2,5,2,0,1,2,1,1,NA,2,2,2,1,1,1,162,1728,2,1,5,1,NA,1,OAK PARK,60302,3989,0.7332664828277764,0.114063675106543,0.02958134870894961,0.04537478064677864,0.13938330408623714,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,228229,FALSE,TRUE,TRUE
3,203,72,72200,99730,36650,NA,W,4582,68,NA,2,1,6,3,1,3,1,5,2,0,2,1,0,NA,NA,2,2,3,1,2,2,0,1242,2,1,1,3,NA,NA,CHICAGO,60652,6994,0.03002573634543895,0.8311409779811266,0.00943665999428081,0.0550471832999714,0.14869888475836432,14000,Chicago,0,0,1,0,0,0,CARROLL,BOGAN HS,6.949,66886,FALSE,TRUE,TRUE
4,278,28,28036,243270,71220,NA,T,12950,41,NA,2,1,8,4,1,3,1,5,1,1,3,2,0,2,NA,1,2,4,2,1,2,0,2260,2,1,2,NA,NA,NA,ORLAND PARK,60462,7020,0.8626780626780627,0.02008547008547008,0.01039886039886039,0.0737891737891738,0.0660968660968661,56640,Orland Park,0,0,6,-1,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,91250,FALSE,TRUE,TRUE
5,203,72,72194,128190,35430,NA,W,4725,64,NA,2,1,5,3,1,3,1,5,1,0,3,1,0,2,2,2,2,2,1,2,2,0,1025,2,1,1,NA,NA,1,CHICAGO,60652,6389,0.1774925653466896,0.11958052903427768,0.01314759743308812,0.6850837376741274,0.00735639380184692,14000,Chicago,0,0,1,0,0,0,STEVENSON,BOGAN HS,6.949,67765,FALSE,TRUE,TRUE
6,203,70,70170,120470,24370,NA,W,3750,69,NA,2,1,7,4,1,1,1,5,2,0,1,2,0,2,NA,2,2,3,1,2,2,0,1637,2,1,5,1,NA,1,CHICAGO,60628,3208,0.00592269326683291,0.9800498753117208,0,0.01402743142144638,0,14000,Chicago,0,0,1,0,0,0,SCHMID,HARLAN HS,6.908,46517,FALSE,TRUE,TRUE
7,203,72,72200,102480,41830,NA,W,5229,73,NA,2,1,5,3,1,3,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1004,2,1,5,NA,NA,NA,CHICAGO,60652,6643,0.0490742134577751,0.6105675146771037,0.01249435496010838,0.2992623814541623,0.0555471925334939,14000,Chicago,0,0,1,0,0,0,DAWES,BOGAN HS,6.949,68241,FALSE,TRUE,TRUE
8,203,29,29100,153680,33150,NA,T,10200,62,NA,1,1,6,4,3,3,1,5,2,0,2,1,1,NA,NA,2,2,3,1,2,2,0,1437,2,1,1,3,NA,NA,ROLLING MEADOWS,60008,3437,0.7291242362525459,0.00727378527785859,0.01832993890020366,0.23305208030258948,0.02211230724469013,65338,Rolling Meadows,0,0,3,1,0,0,SCHOOL DISTRICT C C  15,ARLINGTON HTS TWNSHP H S 214,9.977,91010,FALSE,TRUE,TRUE
9,203,31,31160,177050,40130,NA,W,6175,98,NA,4,1,7,4,1,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1924,2,1,5,1,NA,NA,BROOKFIELD,60513,5502,0.8009814612868048,0.01035986913849509,0.02998909487459105,0.1395856052344602,0.03816793893129771,08576,Brookfield,0,0,1,0,0,0,SCHOOL DISTRICT 95,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,13.524,84053,FALSE,TRUE,FALSE
10,203,35,35074,135730,66920,NA,W,8636,43,NA,2,1,6,3,1,3,1,5,1,0,3,1,1,2,NA,2,2,4,1,2,2,0,1212,2,1,1,NA,NA,NA,SCHAUMBURG,60193,4337,0.7719621858427484,0.01544846668203827,0.12681577127046345,0.06456075628314503,0.04242563984320959,68003,Schaumburg,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,9.172189655172414,83889,FALSE,TRUE,TRUE
